,question,correct_answer,task,step,participant_id,created_at,acceptable,reasoning,qa_id
39,Wird auf das Vernähen des Nahtbeginns verzichtet,Auf das Vernähen des Nahtbeginns wird verzichtet.,Elastische Stoffe (Falsch),Nähen:,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:52:23.172628+00:00,True,['KNOWLEDGE'],40
40,Wie wird der Oberfaden von der spule bis zum Nähfuß geführt,Der Oberfaden wird von der Spule bis zum Nähfuß entsprechend den Markierungen auf der Maschine durch die vorgegebenen Fadenführungen geleitet,Einfädeln Oberspule,Führung des Oberfadens:,604b169fe4b7991ec08da3a6,2024-06-14T16:54:32.729743+00:00,True,['KNOWLEDGE'],41
41,"Wie wird der Oberfaden zuletzt eingefädelt, wenn eine Einfädelhilfe vorhanden ist","der Oberfaden wird durch die Einfädelhilfe am Nähfuß geleitet, sofern eine solche vorhanden ist.",Einfädeln Oberspule,Führung des Oberfadens:,604b169fe4b7991ec08da3a6,2024-06-14T16:55:36.601421+00:00,False,,42
42,Auf welche Stichbreite wird das Stichbreiteneinstellrad für den Geradeausstich gesetzt?,Die Stichbreite am Stichbreiteneinstellrad für den Geradeaus-Stich wird auf 00 mm gesetzt.,Elastische Stoffe (Falsch),Maschineneinstellungen:,60915a5ad91c6f5cdcb5cf9f,2024-06-14T16:57:36.690522+00:00,True,['KNOWLEDGE'],43
43,Wie wird der Nähfuß angehoben,Der Nähfuß wird mit dem Nähfußhebel angehoben,Elastische Stoffe (Richtig),Vorbereitung (2):,604b169fe4b7991ec08da3a6,2024-06-14T16:58:48.922583+00:00,True,['KNOWLEDGE'],44
44,Wie wird die Nadel manuel in den Stoff eingestochen,"das Handrad wird in Nutzerrichtung gedreht, um die Nadel manuell in den Stoff einzustechen.",Elastische Stoffe (Richtig),Vorbereitung (2):,604b169fe4b7991ec08da3a6,2024-06-14T17:00:43.936807+00:00,True,['SPATIAL'],45
45,Auf Länge wird der Stich am Stichlängeneinstellrad eingestellt?,Die Stichlänge am Stichlängeneinstellrad wird auf 3mm eingestellt.,Elastische Stoffe (Falsch),Maschineneinstellungen:,60915a5ad91c6f5cdcb5cf9f,2024-06-14T17:00:44.328495+00:00,True,['KNOWLEDGE'],46
46,"Wo sollte die bereits genähte Naht positioniert werden, bevor der Nähfuß abgesenkt wird?",Die bereits genähte Naht sollte etwa 1 cm vor dem Nahtende unter der Nadel positioniert werden.,Elastische Stoffe (Richtig),Vorbereitung (2):,604b169fe4b7991ec08da3a6,2024-06-14T17:02:04.680967+00:00,True,['SPATIAL'],47
47,"Wo wird die Oberspule platziert, bevor mit dem Aufspulen begonnen wird?",Die Oberspule wird auf dem dafür vorgesehenen Spulenstift platziert.,Aufspulen,Vorbereitung der Spulen: ,604b169fe4b7991ec08da3a6,2024-06-14T17:04:29.323461+00:00,True,['KNOWLEDGE'],48
48,Wie wird die Stichart auf Geradeaus-Stich gesetzt?,Die Stichart wird mithilfe des Stichauswahlrades auf Geradeaus-Stich gesetzt.,Elastische Stoffe (Falsch),Maschineneinstellungen:,60915a5ad91c6f5cdcb5cf9f,2024-06-14T17:05:20.159175+00:00,True,['KNOWLEDGE'],49
49,"Welche Maßnahme wird ergriffen, um zu verhindern, dass die Oberspule während des Aufspulens wackelt","Ein geeigneter Spulenhalter wird auf dem Stift befestigt, um zu verhindern, dass die Oberspule während des Aufspulens wackelt.",Aufspulen,Vorbereitung der Spulen: ,604b169fe4b7991ec08da3a6,2024-06-14T17:06:27.569014+00:00,True,['KNOWLEDGE'],50
50,Wie wird die leere Unterspule für das Aufspulen vorbereitet?,Die leere Unterspule wird auf den Spulenwikelstift gesetzt.,Aufspulen,Vorbereitung der Spulen: ,604b169fe4b7991ec08da3a6,2024-06-14T17:08:13.633925+00:00,True,['KNOWLEDGE'],51
51,Was muss man bei der Durchführung des Fadens beachten?,Man muss die korrekte Durchführung des Fadens aus dem Spulenkorb heraus beachten.,Einfädeln Unterspule,Schließen der Spulenabdeckung:,60915a5ad91c6f5cdcb5cf9f,2024-06-14T17:10:07.468185+00:00,False,,52
52,Wie wird der Stoff vom Nähfuß entferntt,Der Nähfuß wird mit dem Nähfußhebel angehoben und das Stoffstück zur linken Seite weggezogen,Elastische Stoffe (Falsch),Abschluss (2):,604b169fe4b7991ec08da3a6,2024-06-14T17:10:16.908670+00:00,False,,53
53,Was muss man zum Einfädeln der Unterspule schließen?,Man muss die Spulenabdeckung schließen.,Einfädeln Unterspule,Schließen der Spulenabdeckung:,60915a5ad91c6f5cdcb5cf9f,2024-06-14T17:11:39.364683+00:00,False,,54
54,"Was sollte getan werden, wenn der Stoff beim Wegziehen spannt?","Das Handrad sollte gedreht werden, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.",Elastische Stoffe (Falsch),Abschluss (2):,604b169fe4b7991ec08da3a6,2024-06-14T17:12:27.462549+00:00,True,['KNOWLEDGE'],55
55,Was muss man zum Einfädeln der Unterspule schließen?,Man muss die Spulenabdeckung schließen.,Einfädeln Unterspule,Schließen der Spulenabdeckung:,60915a5ad91c6f5cdcb5cf9f,2024-06-14T17:13:33.076982+00:00,False,,56
56,Wie werden die Fäden nach dem Nähen abgeschnitten?,Die Fäden werden mit dem integrierten Fadenschneider der Maschine abgeschnitten.,Elastische Stoffe (Falsch),Abschluss (2):,604b169fe4b7991ec08da3a6,2024-06-14T17:14:47.055388+00:00,True,['KNOWLEDGE'],57
57,Was ist der erste Schritt nach dem Aufspulen des Fadens auf die Unterspule,"Der erste Schritt ist, die Unterspule abzunehmen.",Aufspulen,Fadenabschneiden:,604b169fe4b7991ec08da3a6,2024-06-14T17:16:30.819404+00:00,False,,58
58,Wie wird der Faden nach dem Aufspulen abgeschnitten?,Der Faden wird mit dem integrierten Fadenschneider der Maschine abgeschnitten,Aufspulen,Fadenabschneiden:,604b169fe4b7991ec08da3a6,2024-06-14T17:18:07.106456+00:00,True,['KNOWLEDGE'],59
59,"Warum ist es wichtig, den Faden nach dem Abnehmen der Unterspule abzuschneiden?","Es ist wichtig, den Faden abzuschneiden, um eine ordentliche Spule zu haben und um sicherzustellen, dass der Faden nicht verheddert oder Probleme beim Nähen verursacht.",Aufspulen,Fadenabschneiden:,604b169fe4b7991ec08da3a6,2024-06-14T17:21:33.934501+00:00,False,,60
60,In welche Richtung muss man das Handrad drehen um die Nadel abzusenken?,Das Handrard muss in Nutzerrichtung gedreht werden.,Elastische Stoffe (Falsch),Vorbereitung (2):,5e5b7eee4989f13610bb461b,2024-06-14T19:11:39.534933+00:00,True,['SPATIAL'],61
61,Womit wird der Nähfuß abgesenkt?,Mit dem Nähfußhebel.,Elastische Stoffe (Falsch),Vorbereitung (2):,5e5b7eee4989f13610bb461b,2024-06-14T19:13:03.595943+00:00,True,['KNOWLEDGE'],62
62,Wo muss man den Startpunkt der Naht positionieren?,unter der Nadel.,Elastische Stoffe (Falsch),Vorbereitung (2):,5e5b7eee4989f13610bb461b,2024-06-14T19:14:02.783037+00:00,True,['KNOWLEDGE'],63
63,Wie sollte man das Probe-Stoffstück unter dem Nähfuß platzieren?,"So, dass die Nadedel beim Nähen einmal in den Stoff und einmal knapp daneben sticht",Versäubern,Versäubern:,5e5b7eee4989f13610bb461b,2024-06-14T19:17:10.943406+00:00,True,['KNOWLEDGE'],64
64,In welche Richtung muss das Handrad gedreht werden um die Nadel manuell in den Stoff einzustechen? ,Das Handrard muss in Nutzerrichtig gedreht werden.,Versäubern,Versäubern:,5e5b7eee4989f13610bb461b,2024-06-14T19:19:52.451843+00:00,True,['SPATIAL'],65
65,Was sollte man beim Führen des Stoffs sicherstellen?,Dass die Nadel in der gewünschten Wechselposition ziwschen Stoff und Kantenrand sticht.,Versäubern,Versäubern:,5e5b7eee4989f13610bb461b,2024-06-14T19:23:44.747489+00:00,True,['KNOWLEDGE'],66
66,Wie entfernt man eventuell vorhandene Reste des alten Fadens von der Unterspule?,Man nimmt den Rest vom Faden und zieht ihn vorsichtig von der Unterspule ab.,Aufspulen,Fadenentfernung: ,5e5b7eee4989f13610bb461b,2024-06-14T19:25:33.699480+00:00,False,,67
67,Was wird mit den entfernten Resten von der Unterspule gemacht?,Man kann sie entsorgen.,Aufspulen,Fadenentfernung: ,5e5b7eee4989f13610bb461b,2024-06-14T19:26:41.776498+00:00,True,['KNOWLEDGE'],68
68,Was sollte man am Ende noch mit der Unterspule machen?,In die Ausgangsposition drehen.,Aufspulen,Fadenentfernung: ,5e5b7eee4989f13610bb461b,2024-06-14T19:27:47.357344+00:00,False,,69
69,Worauf sollte man beim Aufspuhlen achten?,Dass man den Faden leicht zwischen Daumen und Zeigefinger vor der Unterspule führt.,Aufspulen,Fadenführung während des Spulens (optional): ,5e5b7eee4989f13610bb461b,2024-06-14T19:29:25.159322+00:00,True,['KNOWLEDGE'],70
70,"Wie stark sollte man an dem Faden ziehen, um eine gleichmäßgie Wicklung zu erzielen?",Man sollte den Faden nicht zu straff ziehen?,Aufspulen,Fadenführung während des Spulens (optional): ,5e5b7eee4989f13610bb461b,2024-06-14T19:30:39.024759+00:00,True,['KNOWLEDGE'],71
71,Was macht man sobald man den Faden aufgespult hat?,Die Hände vorsichtig wieder von der Maschine entfernen.,Aufspulen,Fadenführung während des Spulens (optional): ,5e5b7eee4989f13610bb461b,2024-06-14T19:32:03.622578+00:00,False,,72
72,Womit wird der Nähfuß angehoben?,Mit dem Nähfußhebel.,Einfädeln Unterspule,Entfernung der Spulenabdeckung:,5e5b7eee4989f13610bb461b,2024-06-14T19:32:39.931181+00:00,True,['KNOWLEDGE'],73
73,Womit wird die Spulenabdeckung entriegelt?,Mithilfe des entsprechenenden Hebels.,Einfädeln Unterspule,Entfernung der Spulenabdeckung:,5e5b7eee4989f13610bb461b,2024-06-14T19:33:10.037027+00:00,True,['KNOWLEDGE'],74
74,Wozu muss man die Spulenabdeckung öffnen?,Um Zugang zum Spulenkorb zu erhalten.,Einfädeln Unterspule,Entfernung der Spulenabdeckung:,5e5b7eee4989f13610bb461b,2024-06-14T19:33:51.301878+00:00,True,['KNOWLEDGE'],75
75,Warum wird zu Beginn der Naht ein Stück rückwärts genäht?,Damit der Anfang der Naht gesichert wird und nicht wieder aufgeht.,Geradeausstich,Nähen:,5f5494aa76d6147f7ca89533,2024-06-17T17:27:22.561663+00:00,True,['KNOWLEDGE'],76
76,Ist die Sicherung der Naht durch Rückwärtsnähen nur zu Beginn der Naht notwendig?,"Nein, auch am Ende der Naht muss der Vorgang wiederholt werden, damit der Abschluss der Naht gesichert wird.",Geradeausstich,Nähen:,5f5494aa76d6147f7ca89533,2024-06-17T17:28:41.727039+00:00,True,['KNOWLEDGE'],77
77,Wie wechselt man zwischen dem Vorwärts- und Rückwärtsnähen?,Durch die Betätigung eines Knopfes oder Hebels an der Nähmaschine.,Geradeausstich,Nähen:,5f5494aa76d6147f7ca89533,2024-06-17T17:29:55.472183+00:00,True,['KNOWLEDGE'],78
78,Warum muss vor dem Beginn des Nähens der Nähfuß angehoben werden?,Damit sich das Stoffstück problemlos unter den Nähfuß schieben lässt.,Geradeausstich,Vorbereitung:,5f5494aa76d6147f7ca89533,2024-06-17T17:32:02.497884+00:00,True,['KNOWLEDGE'],79
79,An welcher Seite des Nähfußes muss der Rand des Stoffstückes für die gewünschte Nahtzugabe ausgerichtet werden?,An der rechten Seite des Nähfußes.,Geradeausstich,Vorbereitung:,5f5494aa76d6147f7ca89533,2024-06-17T17:33:35.278573+00:00,True,['SPATIAL'],80
80,Wie funktioniert das Anheben und Absenken des Nähfußes?,Durch Betätigung des Nähfußhebels.,Geradeausstich,Vorbereitung:,5f5494aa76d6147f7ca89533,2024-06-17T17:34:45.320346+00:00,True,['KNOWLEDGE'],81
81,"Welcher besondere Stich wird bei elastischen Stoffen angewandt, um ein Reißen der Naht zu verhindern?",Der Zickzack-Stich.,Elastische Stoffe (Richtig),Abschluss (1):,5f5494aa76d6147f7ca89533,2024-06-17T17:37:14.551094+00:00,True,['KNOWLEDGE'],82
82,"Was kann getan werden, wenn ein elastischer Stoff nach dem Nähen spannt?","Beim Wegziehen des Stoffes zur linken Seite kann das Handrad betätigt werden, um die Spannung zu lösen und ein leichteres Wegziehen zu ermöglichen.",Elastische Stoffe (Richtig),Abschluss (1):,5f5494aa76d6147f7ca89533,2024-06-17T17:39:16.891292+00:00,True,['KNOWLEDGE'],83
83,Wie sollten die überschüssigen Fäden des Werkstückes entfernt werden?,Durch Verwendung des integrierten Fadenschneiders der Nähmaschine.,Elastische Stoffe (Richtig),Abschluss (1):,5f5494aa76d6147f7ca89533,2024-06-17T17:41:10.395215+00:00,True,['KNOWLEDGE'],84
84,Wie wird der Vorgang des Aufspulens gestartet?,Man muss den Spulenwickelstift der Unterspule nach rechts drücken.,Aufspulen,Spulvorgang starten: ,5f5494aa76d6147f7ca89533,2024-06-17T17:44:02.216323+00:00,True,"['KNOWLEDGE', 'SPATIAL']",85
85,Mit welchem Teil der Nähmaschine wird das eigentliche Aufspulen gestartet?,Mit dem Fußpedal.,Aufspulen,Spulvorgang starten: ,5f5494aa76d6147f7ca89533,2024-06-17T17:44:49.066192+00:00,True,['KNOWLEDGE'],86
86,"Kann es vorkommen, dass mehr als ein Schritt zur Aktivierung des Spulvorgangs nötig ist?","Ja, abhängig von der Art der Nähmaschine muss gegebenfalls ein weiterer Hebel betätigt werden.",Aufspulen,Spulvorgang starten: ,5f5494aa76d6147f7ca89533,2024-06-17T17:46:05.144739+00:00,True,['KNOWLEDGE'],87
87,Was muss vor dem Einfädeln der Oberspule als erster Schritt erfolgen?,"Der Nähfuß muss angehoben werden, damit die Fadenspannung gelöst wird.",Einfädeln Oberspule,Einfädeln der Nadel:,5f5494aa76d6147f7ca89533,2024-06-17T17:48:50.477401+00:00,True,['TEMPORAL'],88
88,Wie kann man sich das Einfädeln in das Nadelöhr erleichtern?,"Den Faden mit einer Schere sauber abschneiden, damit das Fadenende nicht ausgefranst ist.",Einfädeln Oberspule,Einfädeln der Nadel:,5f5494aa76d6147f7ca89533,2024-06-17T17:49:50.032365+00:00,True,['KNOWLEDGE'],89
89,In welche Richtung muss der Faden in das Nadelöhr eingeführt werden?,Von vorne nach hinten.,Einfädeln Oberspule,Einfädeln der Nadel:,5f5494aa76d6147f7ca89533,2024-06-17T17:50:50.473732+00:00,True,"['KNOWLEDGE', 'SPATIAL']",90
90,Auf welche Stichart wird die Maschine eingestellt?,Sie wird auf den Zickzack-Stich gesetzt.,Elastische Stoffe (Richtig),Maschineneinstellungen:,5b648251bd56550001bf31fd,2024-06-17T17:58:05.912976+00:00,False,,91
91,Auf welcher Seite öffnet man die Spulenabdeckung?,Auf der rechten Seite,Einfädeln Unterspule,Entfernung der Spulenabdeckung:,5c9fd46cfd19090012b4ac8b,2024-06-17T18:16:31.600682+00:00,True,['SPATIAL'],92
92,Welche Farbe hat die Spulenabdeckung?,Die Spulenabdeckung ist transparent.,Einfädeln Unterspule,Entfernung der Spulenabdeckung:,5c9fd46cfd19090012b4ac8b,2024-06-17T18:36:15.869215+00:00,True,['PERCEPTION'],93
93,In welcher Position muss sich der Nähfuß befinden?,Der Nähfuß muss angehoben werden.,Einfädeln Unterspule,Entfernung der Spulenabdeckung:,5c9fd46cfd19090012b4ac8b,2024-06-17T18:41:01.827415+00:00,False,,94
94,Auf welcher Seite wird die Spulenabdeckung als erstes eingehakt?,Auf der linken Seite,Einfädeln Unterspule,Schließen der Spulenabdeckung:,5c9fd46cfd19090012b4ac8b,2024-06-17T18:44:49.477177+00:00,True,['SPATIAL'],95
95,Wie wird die Oberspule richtig eingefädelt?,"Den Oberfaden in der linken Hand festhalten, mit der rechten Hand das Rad eine volle Umdrehung in Richtung des Nutzers drehen. Die Länge von Ober und Unterfaden mit der Schere auf ca. 15 cm angleichen, danach beide Fäden nach hinten unter dem Nähfuß durchführen.",Einfädeln Oberspule,Abschluss des Einfädelns:,5b21646bdf28a7000166f4dc,2024-06-17T20:22:30.527214+00:00,True,['KNOWLEDGE'],96
96,Wie wird der Faden richtig eingefädelt?,Den Faden mit der einen Hand festhalten und dann das Rad eine volle Umdrehung drehen. Mit einer Schere die Länge des Ober und Unterfadens angleichen.,Einfädeln Oberspule,Abschluss des Einfädelns:,5b21646bdf28a7000166f4dc,2024-06-17T20:24:13.568360+00:00,True,['KNOWLEDGE'],97
